taxon	from	to	parent	children	notes	level	asterisk	is_collapsed	is_root	is_tip	is_node
compsognathus	-150.8	-145	compsognathidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
concavenator	-125	-125	carcharodontosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
corythosaurus	-77	-75.7	hadrosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
creodonta	-63.3	-8.8	ferae	hyaenodontidae, oxyaenidae	'Meat teeth'. North America, Europe, Asia, Africa.	NA	FALSE	FALSE	FALSE	FALSE	TRUE
crocodilia	-100	-0	crocodyliformes	alligatoroidea, crocodyloidea, gavialoidea	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
crocodylidae	-46	-0	crocodyloidea	crocodylus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
crocodyliformes	-225	-0	crocodylomorpha	crocodilia, notosuchia, pholidosauridae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
crocodyloidea	-70	-0	crocodilia	crocodylidae	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
crocodylomorpha	-235	-0	pseudosuchia	crocodyliformes, sphenosuchia, thalattosuchia	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
crocodylus	-25	-0	crocodylidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
cryptoclididae	-170	-130	plesiosauria	cryptoclidus, kimmerosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
cryptoclidus	-166	-160	cryptoclididae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ctenosauriscidae	-247.5	-237	poposauroidea	NA	all species had large 'sails' on their backs	family	FALSE	FALSE	FALSE	TRUE	FALSE
cynodontia	-260	-0	theriodontia	cynognathus, thrinaxodon, mammaliamorpha	'Dog teeth'.	NA	FALSE	FALSE	FALSE	FALSE	TRUE
cynognathus	-247	-237	cynodontia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
dacentrurus	-154	-140	stegosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
daeodon	-29	-15.97	entelodontidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
daspletosaurus	-78	-74.4	tyrannosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
deinocheiridae	-115	-69	ornithomimosauria	deinocheirus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
deinocheirus	-70	-70	deinocheiridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
deinonychosauria	-167	-66	paraves	dromaeosauridae, troodontidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
deinonychus	-115	-108	eudromaeosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
deinosuchus	-82	-73	alligatoroidea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
deinotheriidae	-28	-1	proboscidea	deinotherium	'Terrible beasts'.	family	FALSE	FALSE	FALSE	FALSE	TRUE
deinotherium	-13	-1	deinotheriidae	NA	'Terrible beast'. East Africa, Europe, India. Tusks grew down and curved back from lower jaw.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
desmatosuchus	-228	-210	aetosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
diabloceratops	-81.4	-81	ceratopsidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
diadectes	-290	-272	diadectidae	NA	'Crosswise-biter'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
diadectidae	-305	-256	reptiliomorpha	diadectes, diasparactus	'Crosswise-biters'. The first herbivorous tetrapods, the first fully terrestrial vertebrates to attain large size	family	FALSE	FALSE	FALSE	FALSE	TRUE
diapsida	-302	-0	eureptilia	sauria	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
diasparactus	-296.4	-295	diadectidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
dicynodontia	-268	-201.4	therapsida	lisowicia, lystrosaurus, placerias	'two dog tooth'.	NA	FALSE	FALSE	FALSE	FALSE	TRUE
didelphodon	-73	-66	stagodontidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
dilong	-130	-122.5	tyrannosauroidea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
dilophosaurus	-195.2	-183.7	coelophysoidea	NA	two-crested lizard	NA	FALSE	FALSE	FALSE	TRUE	FALSE
dimetrodon	-295	-270	sphenacodontidae	NA	'Two measures tooth'. Large neural spine sail.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
dimorphodon	-201.3	-189.6	pterosauria	NA	'Two shape tooth'. Europe	genus	FALSE	FALSE	FALSE	TRUE	FALSE
dinocephalia	-279	-260	therapsida	moschops, titanophoneus	'terrible head'.	NA	FALSE	FALSE	FALSE	FALSE	TRUE
dinohippus	-10.3	-3.6	equidae	NA	'Terrible horse'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
dinornithiformes	-17	-6e-4	palaeognathae	NA	Moas. New Zealand. 9 species 6 genera incl Dinornis	NA	FALSE	FALSE	FALSE	TRUE	FALSE
dinosauria	-240	-0	dinosauromorpha	ornithischia, saurischia	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
dinosauromorpha	-247	-0	avemetatarsalia	dinosauria	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
diplocaulus	-306	-255	lepospondyli	NA	'Double stalk'. Largest and best-known lepospondyl, distinctive boomerang-shaped skull.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
diplodocidae	-170	-136.4	sauropoda	apatosaurus, barosaurus, brontosaurus, diplodocus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
